,City,Latitude,Longitude,Temperature,Humidity,Cloud_Cover,Wind,Country,Date
345,matara,5.95,80.54,77.0,91,98,8.19,LK,1597532407
346,adet,11.26,37.49,57.97,90,100,2.53,ET,1597532408
347,iqaluit,63.75,-68.51,42.39,100,90,8.05,CA,1597532408
348,gornopravdinsk,60.05,69.9,46.49,87,88,3.31,RU,1597532408
349,kaeo,-35.1,173.78,55.99,3,48,1.99,NZ,1597532409
350,beyneu,45.32,55.2,66.13,50,19,10.67,KZ,1597532409
351,catuday,16.29,119.81,79.12,81,59,5.41,PH,1597532410
352,havre-saint-pierre,50.23,-63.6,66.2,59,1,10.29,CA,1597532410
353,tutoia,-2.76,-42.27,80.55,73,50,17.18,BR,1597532410
354,ola,59.58,151.28,58.15,64,81,4.25,RU,1597532410
355,blagoyevo,63.37,47.92,43.9,82,0,3.96,RU,1597532411
356,ambon,-3.7,128.18,77.0,94,40,5.82,ID,1597532411
357,half moon bay,37.46,-122.43,87.22,32,1,16.11,US,1597532411
358,bournemouth,50.72,-1.88,64.63,100,90,3.36,GB,1597532412
359,caconda,-13.73,15.07,53.56,64,0,3.13,AO,1597532412
360,murray bridge,-35.12,139.27,46.33,92,0,3.0,AU,1597532413
361,comodoro rivadavia,-45.87,-67.5,48.2,42,90,38.03,AR,1597532306
362,harij,23.7,71.9,80.82,89,100,8.88,IN,1597532413
363,zhigansk,66.77,123.37,44.24,68,0,22.35,RU,1597532414
364,simand,46.43,21.45,64.72,93,57,0.47,RO,1597532414
365,talara,-4.58,-81.27,63.28,85,72,14.72,PE,1597532414
366,tessalit,20.2,1.01,97.39,25,24,15.14,ML,1597532415
367,mandalgovi,45.76,106.27,59.7,75,100,6.89,MN,1597532415
368,tecpan,14.76,-90.99,68.52,60,75,13.87,GT,1597532415
369,spokane,47.62,-117.37,89.8,16,1,3.36,US,1597532416
370,sydney,-33.87,151.21,59.04,58,90,18.34,AU,1597532283
371,biak,-0.91,122.88,76.57,72,81,7.07,ID,1597532416
372,bonavista,48.65,-53.11,55.99,78,0,1.99,CA,1597532416
373,suclayin,15.76,121.55,80.33,78,70,2.26,PH,1597532417
374,ndele,8.41,20.65,71.73,96,100,2.8,CF,1597532417
375,lakes entrance,-37.88,147.98,52.0,97,100,1.99,AU,1597532417
376,kiama,-34.68,150.87,57.6,72,100,14.0,AU,1597532417
377,saldanha,-33.01,17.94,46.4,87,23,3.36,ZA,1597532418
378,koslan,63.46,48.9,43.9,81,0,3.09,RU,1597532418
379,lima,-12.04,-77.03,62.6,77,90,9.17,PE,1597532164
380,alice springs,-23.7,133.88,50.0,37,0,9.8,AU,1597532141
381,asmar,35.03,71.36,78.48,69,67,1.77,AF,1597532419
382,morant bay,17.88,-76.41,84.99,83,40,9.17,JM,1597532419
